Observed Date,Asteroid ID,Asteroid Name,Absolute Magnitude,Relative Velocity (k/s),Close Approach Date,Estimated Max Diameter (km),Estimated Min Diameter (km),Potentially Hazardous?,Miss Distance (km),Orbiting Body,Year,Month,Day
2019-01-01,3837557,(2019 AN),24.2,8.3685770903,2019-01-01,0.0859092601,0.0384197891,False,19108365.537910876,Earth,2019,1,1
2019-01-01,3398654,(2007 YS56),25.7,6.4611354444,2019-01-01,0.0430566244,0.0192555078,False,17987605.956517039,Earth,2019,1,1
2019-01-01,3398652,(2007 YQ56),19.9,15.4294873559,2019-01-01,0.6223575734,0.2783267681,True,11440989.539558679,Earth,2019,1,1
2019-01-01,3837538,(2018 YV2),24.2,11.7186523264,2019-01-01,0.0859092601,0.0384197891,False,10220722.30201183,Earth,2019,1,1
2019-01-01,3771017,(2017 EV2),20.8,13.6424741096,2019-01-01,0.411187571,0.1838886721,False,70335665.49439282,Earth,2019,1,1
2019-01-01,3837589,(2019 AO2),24.2,8.1781731908,2019-01-01,0.0859092601,0.0384197891,False,30334082.201681494,Earth,2019,1,1
2019-01-01,3827572,(2018 RL4),22.9,12.0652838031,2019-01-01,0.1563291544,0.0699125232,False,57213293.897598778,Earth,2019,1,1
2019-01-01,3836889,(2018 XB4),24.0,5.4016736312,2019-01-01,0.0941976306,0.0421264611,False,15971072.819859934,Earth,2019,1,1
2019-01-01,2527715,527715 (2007 YQ56),19.9,15.429488062,2019-01-01,0.6223575734,0.2783267681,True,11440988.941167199,Earth,2019,1,1
2019-01-01,2539856,539856 (2017 EV2),20.9,13.6424034128,2019-01-01,0.3926810818,0.1756123185,False,70335410.474903831,Earth,2019,1,1
2019-01-02,3837786,(2019 AN8),25.2,21.6008174934,2019-01-02,0.0542050786,0.0242412481,False,4382853.679221438,Earth,2019,1,2
2019-01-02,3837669,(2019 AS3),28.1,14.3898536899,2019-01-02,0.0142573883,0.0063760979,False,629092.792629472,Earth,2019,1,2
2019-01-02,3837744,(2019 AO7),22.8,19.7412188169,2019-01-02,0.1636967205,0.0732073989,False,10565236.188524327,Earth,2019,1,2
2019-01-02,3837683,(2019 AQ5),25.4,5.0031787214,2019-01-02,0.0494356193,0.022108281,False,4617883.407148067,Earth,2019,1,2
2019-01-02,3837684,(2019 AR5),21.8,15.2271735583,2019-01-02,0.2594418179,0.1160259082,False,15056535.562797454,Earth,2019,1,2
2019-01-02,3796290,(2017 YQ8),24.6,15.7032748069,2019-01-02,0.0714562102,0.0319561887,False,8281162.161320074,Earth,2019,1,2
2019-01-02,3837537,(2018 YW2),23.9,8.7466333322,2019-01-02,0.0986370281,0.04411182,False,8408254.662395357,Earth,2019,1,2
2019-01-02,2459458,459458 (2012 XR134),18.5,30.576997661,2019-01-02,1.1858779086,0.5303407233,False,39312473.629812294,Earth,2019,1,2
2019-01-02,3079950,(2001 OT),21.6,13.9318451429,2019-01-02,0.2844722965,0.1272198785,False,51118950.033986629,Earth,2019,1,2
2019-01-02,3313739,(2006 BA9),22.7,18.0970181594,2019-01-02,0.1714115092,0.0766575574,False,34950319.299229998,Earth,2019,1,2
2019-01-02,3407944,(2008 GD),19.8,35.8432161907,2019-01-02,0.6516883822,0.2914439045,False,59204319.400637923,Earth,2019,1,2
2019-01-02,3607626,(2012 PK24),23.8,8.6918142566,2019-01-02,0.1032856481,0.046190746,False,27179532.711095424,Earth,2019,1,2
2019-01-02,3621604,(2012 YK),23.0,12.876003253,2019-01-02,0.1492931834,0.0667659413,False,16961872.123970375,Earth,2019,1,2
2019-01-02,3655449,(2013 YZ13),19.6,24.4588217682,2019-01-02,0.7145621017,0.3195618867,False,73074559.786508532,Earth,2019,1,2
2019-01-02,3837605,(2019 AE3),27.4,8.459573666,2019-01-02,0.0196806745,0.0088014652,False,778964.965283904,Earth,2019,1,2
2019-01-02,3837638,(2019 AR3),22.5,21.2198396029,2019-01-02,0.1879489824,0.0840533402,False,8762262.089577202,Earth,2019,1,2
2019-01-02,2532874,532874 (2013 YZ13),19.5,24.4588308795,2019-01-02,0.7482383761,0.3346223745,False,73074589.930479337,Earth,2019,1,2
2019-01-03,3837674,(2019 AD5),22.9,14.7623680789,2019-01-03,0.1563291544,0.0699125232,False,7512692.114927724,Earth,2019,1,3
2019-01-03,3836970,(2018 YZ),21.6,15.0047562778,2019-01-03,0.2844722965,0.1272198785,False,44119736.137108418,Earth,2019,1,3
2019-01-03,3483204,(2009 XQ1),22.3,11.6484546156,2019-01-03,0.2060819612,0.0921626549,False,28390741.184262506,Earth,2019,1,3
2019-01-03,3763271,(2016 VS),27.4,8.4019181711,2019-01-03,0.0196806745,0.0088014652,False,37769781.439086946,Earth,2019,1,3
2019-01-03,3827307,(2018 RP1),24.3,3.7721651543,2019-01-03,0.0820427065,0.0366906138,False,49862712.916105074,Earth,2019,1,3
2019-01-03,2357022,357022 (1999 YG3),19.0,25.9018812359,2019-01-03,0.9419763057,0.4212646106,True,48650349.592260953,Earth,2019,1,3
2019-01-03,3837644,(2019 AY3),23.8,19.4107410594,2019-01-03,0.1032856481,0.046190746,False,5043602.218890982,Earth,2019,1,3
2019-01-03,3843878,(2019 SJ),27.6,7.0856384157,2019-01-03,0.0179489885,0.0080270317,False,55727195.269244632,Earth,2019,1,3
2019-01-03,3959223,(2019 YB4),26.8,6.5821376902,2019-01-03,0.0259441818,0.0116025908,False,3655560.38670744,Earth,2019,1,3
2019-01-04,3837546,(2019 AB),26.4,9.8141724714,2019-01-04,0.0311917671,0.0139493823,False,550547.478171062,Earth,2019,1,4
2019-01-04,3831886,(2018 UZ),19.8,15.5067331471,2019-01-04,0.6516883822,0.2914439045,False,42769470.63937898,Earth,2019,1,4
2019-01-04,3263453,(2004 XP14),19.4,17.176591429,2019-01-04,0.7835017643,0.3503926411,True,10937300.602207717,Earth,2019,1,4
2019-01-04,3379718,(2007 NL1),21.2,10.5554043489,2019-01-04,0.3420109247,0.1529519353,False,25644200.885171946,Earth,2019,1,4
2019-01-04,3837533,(2018 YP2),25.4,16.9782850433,2019-01-04,0.0494356193,0.022108281,False,5368095.003587343,Earth,2019,1,4
2019-01-04,3638287,(2013 JL14),24.5,11.3130292604,2019-01-04,0.0748238376,0.0334622374,False,40345215.16514209,Earth,2019,1,4
2019-01-04,3625335,(2013 BC70),24.1,10.9616560721,2019-01-04,0.0899580388,0.040230458,False,17117475.630381099,Earth,2019,1,4
2019-01-04,3837746,(2019 AV7),23.7,16.8442946457,2019-01-04,0.1081533507,0.0483676488,False,12622885.656480091,Earth,2019,1,4
2019-01-04,3837939,(2018 YG4),27.018,9.2185751862,2019-01-04,0.0234660493,0.0104943363,False,3081184.077175345,Earth,2019,1,4
2019-01-04,3827321,(2018 RD2),27.7,8.0194515067,2019-01-04,0.0171411509,0.0076657557,False,47753013.696682553,Earth,2019,1,4
2019-01-04,3795086,(2017 YQ5),24.7,9.9082283294,2019-01-04,0.0682401509,0.0305179233,False,18500113.299350039,Earth,2019,1,4
2019-01-04,3802002,(2018 FU1),26.8,4.856671027,2019-01-04,0.0259441818,0.0116025908,False,35000643.633743536,Earth,2019,1,4
2019-01-04,3655745,(2014 AD16),27.4,9.3558304299,2019-01-04,0.0196806745,0.0088014652,False,4932221.323871171,Earth,2019,1,4
